coreid,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementDeterminedDate,measurementDeterminedBy,measurementRemarks
186291,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-06T16:54:18Z,kdpearso,
186291,"Open Flower",,present,http://purl.obolibrary.org/obo/PPO_0002327,,2020-03-06T16:54:18Z,kdpearso,
186292,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-02-13T15:12:40Z,kdpearso,
186292,"Open Flower",,present,http://purl.obolibrary.org/obo/PPO_0002327,,2020-02-13T15:12:40Z,kdpearso,
186293,"Open Flower",,"absent	",http://purl.obolibrary.org/obo/PPO_0002626,,2020-11-02T18:01:25Z,msteel03,
186293,"Unopen Flower",,absent,http://purl.obolibrary.org/obo/PPO_0002625,,2020-11-02T18:01:25Z,msteel03,
186293,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-11-02T18:01:25Z,msteel03,
186293,Fruit,,present,http://purl.obolibrary.org/obo/PPO_0002044,,2020-11-02T18:01:25Z,msteel03,
186293,"Senesced Flower",,present,http://purl.obolibrary.org/obo/PPO_0002329,,2020-11-02T18:01:25Z,msteel03,
186294,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-02-17T09:25:16Z,kdpearso,
186294,"Open Flower",,present,http://purl.obolibrary.org/obo/PPO_0002327,,2020-02-17T09:25:16Z,kdpearso,
186295,Fruit,,absent," http://purl.obolibrary.org/obo/PPO_0002641",,2020-11-02T17:58:15Z,msteel03,
186295,"Open Flower",,present,http://purl.obolibrary.org/obo/PPO_0002327,,2020-11-02T17:58:15Z,msteel03,
186295,"Senesced Flower",,present,http://purl.obolibrary.org/obo/PPO_0002329,,2020-11-02T17:58:15Z,msteel03,
186295,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-11-02T17:58:15Z,msteel03,
186295,"Unopen Flower",,present,http://purl.obolibrary.org/obo/PPO_0002332,,2020-11-02T17:58:15Z,msteel03,
186296,"Unopen Flower",,absent,http://purl.obolibrary.org/obo/PPO_0002625,,2020-11-02T17:51:22Z,msteel03,
186296,Fruit,,present,http://purl.obolibrary.org/obo/PPO_0002044,,2020-11-02T17:51:22Z,msteel03,
186296,"Open Flower",,"absent	",http://purl.obolibrary.org/obo/PPO_0002626,,2020-11-02T17:51:22Z,msteel03,
186296,"Senesced Flower",,present,http://purl.obolibrary.org/obo/PPO_0002329,,2020-11-02T17:51:22Z,msteel03,
186296,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-11-02T17:51:22Z,msteel03,
186297,"Unopen Flower",,absent,http://purl.obolibrary.org/obo/PPO_0002625,,2020-11-02T18:04:57Z,msteel03,
186297,Fruit,,absent," http://purl.obolibrary.org/obo/PPO_0002641",,2020-11-02T18:04:57Z,msteel03,
186297,"Open Flower",,"absent	",http://purl.obolibrary.org/obo/PPO_0002626,,2020-11-02T18:04:57Z,msteel03,
186297,"Senesced Flower",,present,http://purl.obolibrary.org/obo/PPO_0002329,,2020-11-02T18:04:57Z,msteel03,
186297,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-11-02T18:04:57Z,msteel03,
186298,"Unopen Flower",,absent,http://purl.obolibrary.org/obo/PPO_0002625,,2020-11-02T18:04:11Z,msteel03,
186298,Fruit,,present,http://purl.obolibrary.org/obo/PPO_0002044,,2020-11-02T18:04:11Z,msteel03,
186298,"Open Flower",,"absent	",http://purl.obolibrary.org/obo/PPO_0002626,,2020-11-02T18:04:11Z,msteel03,
186298,"Senesced Flower",,present,http://purl.obolibrary.org/obo/PPO_0002329,,2020-11-02T18:04:11Z,msteel03,
186298,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-11-02T18:04:11Z,msteel03,
186299,"Senesced Flower",,present,http://purl.obolibrary.org/obo/PPO_0002329,,2020-11-02T17:55:45Z,msteel03,
186299,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-11-02T17:55:45Z,msteel03,
186299,"Unopen Flower",,present,http://purl.obolibrary.org/obo/PPO_0002332,,2020-11-02T17:55:45Z,msteel03,
186299,Fruit,,present,http://purl.obolibrary.org/obo/PPO_0002044,,2020-11-02T17:55:45Z,msteel03,
186299,"Open Flower",,present,http://purl.obolibrary.org/obo/PPO_0002327,,2020-11-02T17:55:45Z,msteel03,
186300,"Open Flower",,present,http://purl.obolibrary.org/obo/PPO_0002327,,2020-03-06T16:41:07Z,kdpearso,
186300,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-03-06T16:41:07Z,kdpearso,
186301,"Open Flower",,present,http://purl.obolibrary.org/obo/PPO_0002327,,2020-02-13T08:16:28Z,kdpearso,
186301,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-02-13T08:16:28Z,kdpearso,
186302,Fruit,,absent," http://purl.obolibrary.org/obo/PPO_0002641",,2020-11-02T18:05:24Z,msteel03,
186302,"Senesced Flower",,absent,"http://purl.obolibrary.org/obo/PPO_0002628 ",,2020-11-02T18:05:24Z,msteel03,
186302,"Unopen Flower",,absent,http://purl.obolibrary.org/obo/PPO_0002625,,2020-11-02T18:05:24Z,msteel03,
186302,"Open Flower",,present,http://purl.obolibrary.org/obo/PPO_0002327,,2020-11-02T18:05:24Z,msteel03,
186302,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-11-02T18:05:24Z,msteel03,
186303,Fruit,,absent," http://purl.obolibrary.org/obo/PPO_0002641",,2020-11-02T18:02:37Z,msteel03,
186303,"Senesced Flower",,present,http://purl.obolibrary.org/obo/PPO_0002329,,2020-11-02T18:02:37Z,msteel03,
186303,"Unopen Flower",,absent,http://purl.obolibrary.org/obo/PPO_0002625,,2020-11-02T18:02:37Z,msteel03,
186303,"Open Flower",,"absent	",http://purl.obolibrary.org/obo/PPO_0002626,,2020-11-02T18:02:37Z,msteel03,
186303,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-11-02T18:02:37Z,msteel03,
186304,"Open Flower",,present,http://purl.obolibrary.org/obo/PPO_0002327,,2020-11-02T17:51:59Z,msteel03,
186304,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-11-02T17:51:59Z,msteel03,
186304,Fruit,,absent," http://purl.obolibrary.org/obo/PPO_0002641",,2020-11-02T17:51:59Z,msteel03,
186304,"Senesced Flower",,present,http://purl.obolibrary.org/obo/PPO_0002329,,2020-11-02T17:51:59Z,msteel03,
186304,"Unopen Flower",,present,http://purl.obolibrary.org/obo/PPO_0002332,,2020-11-02T17:51:59Z,msteel03,
186305,"Unopen Flower",,absent,http://purl.obolibrary.org/obo/PPO_0002625,,2020-11-02T18:03:24Z,msteel03,
186305,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-11-02T18:03:24Z,msteel03,
186305,"Open Flower",,"absent	",http://purl.obolibrary.org/obo/PPO_0002626,,2020-11-02T18:03:24Z,msteel03,
186305,Fruit,,present,http://purl.obolibrary.org/obo/PPO_0002044,,2020-11-02T18:03:24Z,msteel03,
186305,"Senesced Flower",,present,http://purl.obolibrary.org/obo/PPO_0002329,,2020-11-02T18:03:24Z,msteel03,
186306,"Open Flower",,"absent	",http://purl.obolibrary.org/obo/PPO_0002626,,2020-11-02T18:03:02Z,msteel03,
186306,Fruit,,absent," http://purl.obolibrary.org/obo/PPO_0002641",,2020-11-02T18:03:02Z,msteel03,
186306,"Senesced Flower",,present,http://purl.obolibrary.org/obo/PPO_0002329,,2020-11-02T18:03:02Z,msteel03,
186306,"Unopen Flower",,absent,http://purl.obolibrary.org/obo/PPO_0002625,,2020-11-02T18:03:02Z,msteel03,
186306,"Angiosperm Phenological Traits",http://purl.obolibrary.org/obo/PPO_0002000,Reproductive,http://purl.obolibrary.org/obo/PPO_0002323,,2020-11-02T18:03:02Z,msteel03,
186307,"Open Flower",,present,http://purl.obolibrary.org/obo/PPO_0002327,,2020-11-02T17:58:58Z,msteel03,
